id,question,answer,meta_keyword,error_code
1,"Where can I see the details related to Orders on Shopify?","<ul><li>You can only see the orders under the ORDERS section of Shopify with the respective tag</li></ul>","Where can I see the details related to Orders on Shopify?, <ul><li>You can only see the orders under the ORDERS section of Shopify with the respective tag</li></ul>",ced-amazon-30
2,"Does this app automatically create Amazon orders in my Shopify Store?","<ul><li>Yes, whenever you receive an order on Amazon, the app will automatically create them on your Shopify Store but just make sure that your order setting is enabled from the app.</li></ul>","Does this app automatically create Amazon orders in my Shopify Store?, <ul><li>Yes, whenever you receive an order on Amazon, the app will automatically create them on your Shopify Store but just make sure that your order setting is enabled from the app.</li></ul>",ced-amazon-31
3,"What happens when an order is received on the Amazon marketplace but the product does not exist on the Shopify store?","<ul><li>The app will fetch those orders from Amazon to App, but will not create them on the Shopify store unless you recreate the product on the Shopify store. The app keeps them under the “Failed orders” section.</li></ul>","What happens when an order is received on the Amazon marketplace but the product does not exist on the Shopify store?, <ul><li>The app will fetch those orders from Amazon to App, but will not create them on the Shopify store unless you recreate the product on the Shopify store. The app keeps them under the “Failed orders” section.</li></ul>",ced-amazon-32
4,"What is the meaning of Failed orders","<ul><li>It simply means the orders which were received on Amazon but cannot be created on Shopify due to insufficient Inventory or Missing product details on Shopify, are aligned under Failed Orders.</li></ul>","What is the meaning of Failed orders, <ul><li>It simply means the orders which were received on Amazon but cannot be created on Shopify due to insufficient Inventory or Missing product details on Shopify, are aligned under Failed Orders.</li></ul>",ced-amazon-33
5,"My order(s) are not showing in the app or shopify store.","<ul><li><b>Case1)</b> Due to “pending” status of order on Amazon <br />When the order is placed on Amazon order will remain in pending status for 30 minutes, After 30 minutes order status will change from pending to Unshipped, As the order status is changed from pending it will get synced into the app.</li><li><b>Case2)</b> Due to insufficient stock <br />If a product has insufficient stock in Shopify to fulfill the Amazon order,  please check the overview section & see failed order details.  The app can not create orders in Shopify due to insufficient stock. Kindly provide the stock in Shopify, the app will sync the order with shopify.</li><li><b>Case3)</b> Due to unavailability of SKU in Shopify <br />If product sku is not available in Shopify, the app won’t be able to create those orders in Shopify.</li></ul>","My order(s) are not showing in the app or shopify store., <ul><li><b>Case1)</b> Due to “pending” status of order on Amazon <br />When the order is placed on Amazon order will remain in pending status for 30 minutes, After 30 minutes order status will change from pending to Unshipped, As the order status is changed from pending it will get synced into the app.</li><li><b>Case2)</b> Due to insufficient stock <br />If a product has insufficient stock in Shopify to fulfill the Amazon order,  please check the overview section & see failed order details.  The app can not create orders in Shopify due to insufficient stock. Kindly provide the stock in Shopify, the app will sync the order with shopify.</li><li><b>Case3)</b> Due to unavailability of SKU in Shopify <br />If product sku is not available in Shopify, the app won’t be able to create those orders in Shopify.</li></ul>",ced-amazon-34
6,"How does the app fetch the unshipped order from Amazon when seller connects the account with the app?","<ul><li>App fetches all the unshipped orders prior 2 hours after connecting the account with the app i.e. Amazon-> App -> Shopify.</li></ul>","How does the app fetch the unshipped order from Amazon when seller connects the account with the app?, <ul><li>App fetches all the unshipped orders prior 2 hours after connecting the account with the app i.e. Amazon-> App -> Shopify.</li></ul>",ced-amazon-35
