id,question,answer,meta_keyword,error_code
1,"What are the eligibility requirements to get started with the app?","<ul>
                                    <li>You need a professional seller account with Amazon Central. Amazon charges a monthly subscription fee for this.</li>
                                    <li>Your return policy must meet the Amazon return standards.</li>
                                    <li>You must have an active Shopify subscription.</li>
                                </ul>","What are the eligibility requirements to get started with the app?, <ul>
                                    <li>You need a professional seller account with Amazon Central. Amazon charges a monthly subscription fee for this.</li>
                                    <li>Your return policy must meet the Amazon return standards.</li>
                                    <li>You must have an active Shopify subscription.</li>
                                </ul>",ced-amazon-42
2,"Can we connect the Amazon pay account with the app?","<ul><li>No, kindly connect Amazon Seller Central account with app for the proper syncing of inventory, products and order.</li></ul>","Can we connect the Amazon pay account with the app?, <ul><li>No, kindly connect Amazon Seller Central account with app for the proper syncing of inventory, products and order.</li></ul>",ced-amazon-2
3,"If we added multiple accounts, can we use them both simultaneously ?","<ul>
                                    <li>Yes, you can add multiple Amazon accounts, however, make sure that they belong to the same region.</li>
                                </ul>","If we added multiple accounts, can we use them both simultaneously ?, <ul>
                                    <li>Yes, you can add multiple Amazon accounts, however, make sure that they belong to the same region.</li>
                                </ul>",ced-amazon-3
4,"Why did CedCommerce extend the free subscription for the App?","<ul>
                                    <li>The decision to extend the free plan for an entire quarter has been made in light of several requests we received from the sellers who are just winding up the Holiday Season sales and getting over the prolonged hassle. Given that Q1 is the time during which sellers use the downtime to plan their budgets, implement upgrades, and strategize for the peaks of a year, it would be helpful if they can focus on comfortably establishing their Amazon business through the app without worrying about extra costs.</li>
                                </ul>","Why did CedCommerce extend the free subscription for the App?, <ul>
                                    <li>The decision to extend the free plan for an entire quarter has been made in light of several requests we received from the sellers who are just winding up the Holiday Season sales and getting over the prolonged hassle. Given that Q1 is the time during which sellers use the downtime to plan their budgets, implement upgrades, and strategize for the peaks of a year, it would be helpful if they can focus on comfortably establishing their Amazon business through the app without worrying about extra costs.</li>
                                </ul>",ced-amazon-4
5,"What will be the pricing plan post Q1, 2022?","<ul>
                                    <li>Cedcommerce discloses the pricing plan of this Amazon app after 31st March. <a target='_blank' href='https://apps.cedcommerce.com/amazon-by-cedcommerce/'>Click Here</a> to know the app pricing, for any further queries you can directly contact to the support team.</li>
                               </ul>","What will be the pricing plan post Q1, 2022?, <ul>
                                    <li>Cedcommerce discloses the pricing plan of this Amazon app after 31st March. <a target='_blank' href='https://apps.cedcommerce.com/amazon-by-cedcommerce/'>Click Here</a> to know the app pricing, for any further queries you can directly contact to the support team.</li>
                               </ul>",ced-amazon-5
6,"Is the Amazon by CedCommerce app reliable?","<ul>
                                    <li><ul>
                                    <li>The native Shopify app for Amazon from CedCommerce is absolutely reliable and ever-evolving. By Q2, 2022, sellers will be able to enjoy even more amazing features enabling them to not just sell but improve their reach optimally. Additionally, the team at CedCommerce is dedicatedly working on making the app the best in the market and already receiving an incredible response from sellers using it currently.</li>
                               </ul></li>
                               </ul>","Is the Amazon by CedCommerce app reliable?, <ul>
                                    <li><ul>
                                    <li>The native Shopify app for Amazon from CedCommerce is absolutely reliable and ever-evolving. By Q2, 2022, sellers will be able to enjoy even more amazing features enabling them to not just sell but improve their reach optimally. Additionally, the team at CedCommerce is dedicatedly working on making the app the best in the market and already receiving an incredible response from sellers using it currently.</li>
                               </ul></li>
                               </ul>",ced-amazon-6
